地址,緯度,經度
桃園市 蘆竹區 中山路20號,,
新北市 新店區 北新路二段166號,,
台北市 信義區 忠孝東路五段236巷6-2號 1F、B1F,,
桃園市 八德區 建德路188號,,
台北市 士林區中正路224號,,
新北市 蘆洲區 中正路78號,,
台北市 中正區 仁愛路一段17號1樓,,
桃園市 桃園區 大有路366號,,
新竹市 東區 金山六街33號1F,,
基隆市 仁愛區 愛二路72號,,
新北市 泰山區 明志路三段193號,,
台北市 中正區 羅斯福路二段56號1樓+B1,,
高雄市 大樹區 三和里學城路一段5號12號C區LB樓,,
台中市 沙鹿區 英才路102號,,
新北市 蘆洲區 九芎街90巷27號1樓,,
南投縣 埔里鎮 大學路501號,,
桃園市 中壢區 遠東路135號,,
新北市 中和區 景平路402之2號,,
雲林縣 虎尾鎮 文化路64號,,
台中市 太平區 中山路四段31號,,
桃園市 中壢區 中華路二段501號1F,,
桃園市 桃園區 中山東路108號,,
新北市 汐止區大同路二段182號(汐科車站北站),,
彰化縣 田中鎮 斗中路一段163號,,
台中市 西區 五權路61號及61-1號,,
台中市 龍井區 台灣大道五段3巷62弄16號,,
台北市 中正區 廈門街77-2號,,
台北市 士林區 華岡路55號大忠館1樓 304櫃位,,
新北市 中和區 中山路二段228號,,
新竹縣 湖口鄉 大同路15-1號6樓,,
宜蘭縣 五結鄉 五濱路二段201號(傳藝中心觀景樓),,
新竹縣 竹北市 嘉豐一街33號,,
嘉義市 西區 垂楊路394、396、398號,,
高雄市 左營區 菜公里27鄰高鐵路107號B1,,
新北市 汐止區 大同路一段369號,,
台北市 南港區 研究院路二段130號,,
台南市 善化區 三抱竹路1號,,
台北市 南港區 經貿一路170號2樓-5,,
新北市 汐止區 新台五路一段96號C1,,
台北市 文山區 萬壽路27號,,
台北市 大同區 承德路一段1號,,
台北市 松山區 三民路29巷6號,,
台中市 北區 中清路一段712號,,
台中市 西屯區 台灣大道四段1727號(東海大學第二校區商學大樓M161室),,
苗栗縣 頭份市 公園二街179號,,
高雄市 燕巢區 大學路1號2樓,,
新北市 新莊區 新北大道三段79號,,
桃園市 中壢區 中北路200號,,
新竹市 東區 公園路133號,,
台北市 信義區 忠孝東路四段515號(C區B2F-B2221),,
新竹市 東區 公道五路二段111號,,
苗栗縣 三義鄉 西湖村下湖5-10號,,
苗栗縣 竹南鎮 科專七路,,
新竹縣 寶山鄉 園區二路166號B1,,
高雄市 楠梓區 內環北路101號,,
高雄市 楠梓區 中二街35號,,
台北市 內湖區 洲子街110號1樓,,
新北市 新店區北新路三段213號1樓,,
雲林縣 北港鎮 公園路7號,,
