品牌,門市名稱,座標,地址,營業時間
85度C,85度C斗六石榴店,"23.7229513,120.5834578",雲林縣斗六市石榴路85號,07:00~22:00
85度C,85度C斗六民生南店,"23.7001826,120.5368772",雲林縣斗六市民生南路226號,07:00~21:00
85度C,85度C斗六西平店,"23.7126243,120.534294",雲林縣斗六市西平路187號,06:30~22:00
85度C,85度C斗南延平店,"23.6722764,120.4758989",雲林縣斗南鎮延平路二段536號,07:00~23:00
85度C,85度C花蓮北埔店,"24.0364312,121.6052214",花蓮縣新城鄉光復路468號,07:00~22:00
85度C,85度C新埔中正店,"24.827347,121.0810532",新竹縣新埔鎮四座里中正路203號,07:00~21:00
85度C,85度C新屋中山店,"24.9701226,121.1148456",桃園市新屋區中山東路一段86號,06:30~22:30
85度C,85度C台南新市店,"23.0798817,120.2953739",台南市新市區復興路5號,07:00~22:00
85度C,85度C新店安康店,"24.95899204091918, 121.50876419681589",新北市新店區安德街173號 安康路口 ,09:00~22:00
85度C,85度C新店安和店,"24.9752615,121.5177129",新北市新店區安和路2段207號,07:00~22:00
85度C,85度C新店三民店,"24.9754458,121.5350592",新北市新店區三民路187號,08:00~20:00
85度C,85度C新港奉天店,"23.5542934,120.347497",嘉義縣新港鄉中山路85-5號,07:00~22:00
85度C,85度C台南新營店,"23.3070389,120.3123507",台南市新營區民權路71號,06:30~23:00
85度C,85度C新社興安店,"24.2411417,120.808247",台中市新社區興安路22號,07:00~21:00
85度C,85度C新莊龍安店,"25.019689,121.423588",新北市新莊區八德街151號,07:00~23:00
85度C,85度C新莊富國店,"25.0260433,121.4192623",新北市新莊區裕民街2號,07:00~24:00
85度C,85度C新莊幸福店,"25.0495543,121.4583687",新北市新莊區福壽街76號,24小時
85度C,85度C新莊建安店,"25.0240634,121.4266542",新北市新莊區建安街103號,06:30~22:00
85度C,85度C新莊昌平店,"25.0529883,121.4545884",新北市新莊區昌平街57號,07:00~21:30
85度C,85度C新莊民安店,"25.0196392,121.4268953",新北市新莊區民安西路86號,06:30~22:00
85度C,85度C新莊中平店,"25.0449815,121.4448958",新北市新莊區中平路84號,06:30~22:00
85度C,85度C新豐建興店,"24.8736799,120.9947646",新竹縣新豐鄉建興路一段146-6號,07:00~21:30
85度C,85度C高雄旗山店,"22.8880368,120.4818187",高雄市旗山區華中街7號,07:00~22:50
