品牌,門市名稱,座標,地址,營業時間
路易莎,路易莎潭子勝利門市,"24.211900895403055, 120.70060605140746",台中市 潭子區 勝利路246號1.2樓,週一至週日 06:30-20:00
路易莎,路易莎敦南遠企,"25.024878245204764, 121.54908071131543",台北市 大安區 敦化南路二段277號1F,週一至週日 07:30-21:00
路易莎,路易莎信義敦南,"25.033134639795076, 121.54926085659713",台北市 大安區 信義路四段116號 B1.1F,週一至週日 07:00-21:00
路易莎,路易莎北城科大實習門市,"25.132597539496384, 121.46793762760679",台北市 北投區 學原路2號 愛園大樓,一～五07:30~20:00/六～日09:00~18:00
路易莎,路易莎蘆洲民族門市,"25.0910024,121.4759104",新北市 蘆洲區 民族路366號,週一至週日07:00~20:00
路易莎,路易莎阿里山觸口門市,"23.44600320426193, 120.58592448080053",嘉義縣 番路鄉 觸口村車埕51號,週一至週日7:30~17:30
路易莎,路易莎員林大同96門市,"23.96879133427904, 120.57760718683016",彰化縣 員林市 大同路二段96號,週一至週日7:30~19:30
路易莎,路易莎英業達總部門市,"25.085607707854845, 121.52287578396421",台北市 士林區 承德路四段166號1樓,週一至週日7:30~17:00
路易莎,路易莎幸福微微門市,"25.04921379795416, 121.44671349802024",新北市 新莊區 幸福路788號 1F、2F,週一至週日 07:00-20:00
路易莎,路易莎忠孝延吉門市,"25.0419054,121.5546514",台北市 大安區 延吉街137巷4號,週一至週日 07:00-20:00
路易莎,路易莎板橋府中門市,"25.0075754,121.4612783",新北市 板橋區 重慶路32號,週一至週日7:00-21:00
路易莎,路易莎板橋三民門市,"25.0151747,121.4793835",新北市 板橋區 三民路二段141號,週一至週日7:00-21:00
路易莎,路易莎士林至誠門市,"25.101730149863144, 121.52899496285015",台北市 士林區 至誠路二段35號1F+B1,週一至週日7:00-21:00
路易莎,路易莎蘆竹中山門市,"25.0515208,121.3011898",桃園市 蘆竹區 中山路20號,週一到週日7:00～21:00
路易莎,路易莎七張捷運門市,"24.9756359,121.5431648",新北市 新店區 北新路二段166號,週一至週日 07:00-21:30
路易莎,路易莎松山工農門市,"25.040283576709868, 121.5717700345364",台北市 信義區 忠孝東路五段236巷6-2號 1F、B1F,週一至週日 07:00-21:00
路易莎,路易莎八德建德門市,"24.928233833072095, 121.2813177950987",桃園市 八德區 建德路188號,週一至週日 07:00-21:00
路易莎,路易莎士林捷運門市,"25.095512,121.5259846",台北市 士林區中正路224號,週一至週日 07:00-22:00
路易莎,路易莎蘆洲湧蓮門市,"25.0836279,121.4703301",新北市 蘆洲區 中正路78號,週一至週日 07:00-21:00
路易莎,路易莎Y17門市,"25.039131027430905, 121.52223120227866",台北市 中正區 仁愛路一段17號1樓,週一至週日 07:00-18:00
路易莎,路易莎桃園大有門市,"25.0102999,121.3193131",桃園市 桃園區 大有路366號,週一至週日 07:00-19:00
路易莎,路易莎新竹金山門市,"24.7775165,121.0171602",新竹市 東區 金山六街33號1F,週一至週日 07:00-16:00
路易莎,路易莎基隆愛二門市,"25.1295,121.7426049",基隆市 仁愛區 愛二路72號,週一至週日 07:00-22:00
路易莎,路易莎明志科大門市,"25.0388055,121.4243283",新北市 泰山區 明志路三段193號,週一至週日 07:00-21:00
路易莎,路易莎羅斯和平門市,"25.027777530965558, 121.52166787347808",台北市 中正區 羅斯福路二段56號1樓+B1,週一至週日 07:00-21:00
路易莎,路易莎高雄義大門市,"22.729821087678385, 120.40644467128728",高雄市 大樹區 三和里學城路一段5號12號C區LB樓,"週一至週五 11:00-22:00
週六至周日 10:00-22:00"
路易莎,路易莎沙鹿靜宜門市,"24.225822249756185, 120.57140720117555",台中市 沙鹿區 英才路102號,週一至週日 07:00-17:00
路易莎,路易莎蘆洲佳瑪門市,"25.081363657474732, 121.46456829711553",新北市 蘆洲區 九芎街90巷27號1樓,週一至週日 07:00-21:00
路易莎,路易莎暨南大學門市,"23.949837643311596, 120.92601799326515",南投縣 埔里鎮 大學路501號,週一至週日 08:00-17:00
路易莎,路易莎元智大學門市,"24.970072557477533, 121.26804918036136",桃園市 中壢區 遠東路135號,週一至週五 07:00-20:00
路易莎,路易莎中和安平門市,"24.993261,121.5092318",新北市 中和區 景平路402之2號,週一至週日 07:00-19:00
路易莎,路易莎虎科大門市,"23.7032948,120.4300871",雲林縣 虎尾鎮 文化路64號,"週一至週五 08:00-17:30
週六至週日 08:00-17:00
遇國定假日和寒暑假依公告為主"
路易莎,路易莎太平中山門市,"24.1498742,120.7120623",台中市 太平區 中山路四段31號,週一至週日 07:00-22:00
路易莎,路易莎中原家樂福門市,"24.962365223040862, 121.23241850925136",桃園市 中壢區 中華路二段501號1F,週一至週日 07:30-21:00
路易莎,路易莎桃園青溪門市,"24.9969224,121.3183363",桃園市 桃園區 中山東路108號,週一至週六：07:00-21:30 週日 07:00-21:00
路易莎,路易莎汐科車站門市,"25.06417863171046, 121.65254392551385",新北市 汐止區大同路二段182號 汐科車站北站 ,週一至週日 07:00-17:00
路易莎,路易莎彰化田中門市,"23.860872,120.5813597",彰化縣 田中鎮 斗中路一段163號,週一至週日 07:00-18:00
路易莎,路易莎中教大門市,"24.145144021796, 120.67076992512976",台中市 西區 五權路61號及61-1號,"寒暑假每日 07:00-18:00
開學每日 07:00-21:00"
路易莎,路易莎東海東園門市,"24.1818522,120.5921128",台中市 龍井區 台灣大道五段3巷62弄16號,週一至週日 07:00-21:00
路易莎,路易莎廈門門市,"25.0246203,121.5175204",台北市 中正區 廈門街77-2號,週一至週日 07:30-17:30 周二公休
路易莎,路易莎文化大學門市,"25.135643225727485, 121.5380924374304",台北市 士林區 華岡路55號大忠館1樓 304櫃位,週一至週五 07:00-19:00
路易莎,路易莎中和大潤發門市,"25.0029136862373, 121.49872346441781",新北市 中和區 中山路二段228號,未知
路易莎,路易莎力成科技門市,"24.870431272225563, 120.9991898702999",新竹縣 湖口鄉 大同路15-1號6樓,未知
路易莎,路易莎宜蘭傳藝門市,"24.68410659716109, 121.82407051547334",宜蘭縣 五結鄉 五濱路二段201號 傳藝中心觀景樓 ,週一至週日 09:00-18:30
路易莎,路易莎竹北嘉豐門市,"24.8167811,121.0294243",新竹縣 竹北市 嘉豐一街33號,週一至週日 07:00-21:00
路易莎,路易莎嘉義垂楊門市,"23.474011930229153, 120.44996061690863",嘉義市 西區 垂楊路394、396、398號,週一至週日 07:00-20:00
路易莎,路易莎高雄捷運左營站門市,"22.68790341296764, 120.30902694768612",高雄市 左營區 菜公里27鄰高鐵路107號B1,週一至週日 07:00-21:00
路易莎,路易莎聯合報大樓門市,"25.0613016,121.6408506",新北市 汐止區 大同路一段369號,週一至週五 08:00-17:00
路易莎,路易莎中研院門市,"25.0394332,121.6160081",台北市 南港區 研究院路二段130號,週一至週日 08:00-17:00
路易莎,路易莎台積電P7門市,"23.1083622,120.2677489",台南市 善化區 三抱竹路1號,週一至週五 07:30-19:00
路易莎,路易莎南港台肥大樓門市,"25.057759248441673, 121.61863653854314",台北市 南港區 經貿一路170號2樓-5,週一至週五 7:30-17:00
路易莎,路易莎汐止東科門市,"25.060417395677554, 121.64827928876454",新北市 汐止區 新台五路一段96號C1,週一至週五 07:00-18:00
路易莎,路易莎政大萬壽門市,"24.988709739457356, 121.57656208442481",台北市 文山區 萬壽路27號,週一至週日 07:00-21:00
路易莎,路易莎台北轉運站門市,"25.0492576,121.5171959",台北市 大同區 承德路一段1號,週一至週日 11:00-21:30
路易莎,路易莎健安新城門市,"25.0551324,121.5627331",台北市 松山區 三民路29巷6號,週一至週日 07:00-19:00
路易莎,路易莎台中中清門市,"24.1688782,120.6728158",台中市 北區 中清路一段712號,週一至週日 07:00-21:00
路易莎,路易莎東海大學門市,"24.182255359128575, 120.61164603521753",台中市 西屯區 台灣大道四段1727號 東海大學第二校區商學大樓M161室 ,"週一至週五 07:30-20:30
週六至週日 8:30-17:00"
路易莎,路易莎頭份公園門市,"24.6935219,120.8878709",苗栗縣 頭份市 公園二街179號,週一至週日 06:30-21:00
路易莎,路易莎高科大門市,"22.75577185195512, 120.33538842142511",高雄市 燕巢區 大學路1號2樓,週一至週五 7:00-18:00
路易莎,路易莎新莊嘉軒,"25.0600927,121.4539951",新北市 新莊區 新北大道三段79號,週一至週日 08:00-16:00
路易莎,路易莎中原大學門市,"24.9563412,121.2452067",桃園市 中壢區 中北路200號,週一至週日 07:30-21:00
路易莎,路易莎新竹公園,"24.800299389807, 120.97732607691287",新竹市 東區 公園路133號,"週一至週五 8:00-17:00
假日 8:00-20:00"
路易莎,路易莎大巨蛋門市,"25.04270378377265, 121.55834211393203",台北市 信義區 忠孝東路四段515號 C區B2F-B2221 ,週一至週日 10:00-21:30
路易莎,路易莎新竹伊普索門市,"24.798721,121.0055086",新竹市 東區 公道五路二段111號,週一至週五 07:00-18:00
路易莎,路易莎三義車亭門市,"24.389990341831602, 120.75858355344921",苗栗縣 三義鄉 西湖村下湖5-10號,"週一至週四 07:30-17:30
週五至週日 07:30-19:00"
路易莎,路易莎竹南台積電門市 即將開幕 ,"24.705556, 120.900833",苗栗縣 竹南鎮 科專七路,未知
路易莎,路易莎新竹台積電門市,"24.7717915,121.0111297",新竹縣 寶山鄉 園區二路166號B1,週一至週五 07:30-19:00
路易莎,路易莎楠梓光寶門市,"22.7241848,120.3013275",高雄市 楠梓區 內環北路101號,週一至週五 7:00-19:00
路易莎,路易莎楠梓日月光門市,"22.7226179,120.3018045",高雄市 楠梓區 中二街35號,週一至週六 07:00-20:00
路易莎,路易莎洲子110門市,"25.0804455,121.5695924",台北市 內湖區 洲子街110號1樓,週一至週日 7:00-19:00
路易莎,路易莎新店矽谷門市 即將開幕 ,"24.9859558,121.539835",新北市 新店區北新路三段213號1樓,週一至週五 07:00-20:00 週六至週日 8:00-17:00
路易莎,路易莎雲林北港門市 即將開幕 ,"23.572846,120.3030079",雲林縣 北港鎮 公園路7號,週一至週日 07:00-21:00
星巴克,星巴克土城大潤發門市," 24.963868, 121.433817 ",新北市土城區永安街25號1F,星期一、星期二、星期三、星期四、星期五 10:00~21:30，星期六、星期日 09:30~21:30
星巴克,星巴克學勤北大門市," 24.947724, 121.379658 ",新北市樹林區大雅路288號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克樹林中山門市," 24.98881, 121.422057 ",新北市樹林區中山路一段157號  近立人街口 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克三峽學成門市," 24.944194, 121.377258 ",新北市三峽區學成路317號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克土城日月光門市," 24.978648, 121.444178 ",新北市土城區學府路二段210號1F,星期一、星期二、星期三、星期四 11:00~21:30，星期五 11:00~22:00，星期六 09:00~22:00，星期日 09:00~21:30
星巴克,星巴克樹林秀泰門市," 24.995954, 121.428374 ",新北市樹林區樹新路40-6號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~22:00
星巴克,星巴克土城門市," 24.983447, 121.458953 ",新北市土城區青雲路152號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 08:00~21:00
星巴克,星巴克亞東門市," 24.997202, 121.452633 ",新北市板橋區南雅南路二段21號,星期一、星期二、星期三、星期四、星期五、星期六 06:30~19:00，星期日 06:30~17:00
星巴克,星巴克土城金城門市," 24.986244, 121.464627 ",新北市土城區金城路三段11號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克板橋遠科門市," 24.998824, 121.456753 ",新北市板橋區遠東路1號,星期一、星期二、星期三、星期四、星期五 07:30~18:00
星巴克,星巴克鶯歌門市," 24.952209, 121.347283 ",新北市鶯歌區育英街67號,星期一、星期二、星期四、星期五、星期六、星期日 07:00~21:00，星期三 07:00~20:30
星巴克,星巴克龜山迴龍門市," 25.018229, 121.405533 ",桃園市龜山區萬壽路一段166號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克板橋忠孝門市," 25.001995, 121.460715 ",新北市板橋區忠孝路 31號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克板中門市," 25.008359, 121.460222 ",新北市板橋區中山路一段15號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克新莊雙鳳門市," 25.026522, 121.417619 ",新北市新莊區中正路702號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30
星巴克,星巴克遠百中山門市," 25.010995, 121.464621 ",新北市板橋區中山路一段152號2F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00
星巴克,星巴克板橋車站門市," 25.0140513, 121.463815 ",新北市板橋區縣民大道二段7號B1 近台鐵及高鐵入口處 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:00~22:30
星巴克,星巴克板站1F門市," 25.014311, 121.463632 ",新北市板橋區縣民大道二段7號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克板橋大遠百門市," 25.013513, 121.466497 ",新北市板橋區新站路28號2樓,星期一、星期二、星期三、星期四、星期五 09:00~22:00，星期六、星期日 11:00~22:00
星巴克,星巴克板大遠百9F門市," 25.014019, 121.467570 ",新北市板橋區新站路28號9樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00
星巴克,星巴克環球門市," 25.007027, 121.475136 ",新北市中和區中山路三段122號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 10:30~22:00
星巴克,星巴克新莊尚德門市," 25.032059, 121.432144 ",新北市新莊區中正路518號,星期一、星期二、星期三、星期四、星期五 07:30~18:00，星期六、星期日 08:00~18:00
星巴克,星巴克中和遠科門市," 24.996863, 121.486521 ",新北市中和區連城路268號1樓,星期一、星期二、星期三、星期四、星期五 07:30~18:00
星巴克,星巴克板橋新海門市," 25.023667, 121.460857 ",新北市板橋區新海路180號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克中科門市," 24.998453, 121.48749 ",新北市中和區建一路152號,星期一、星期二、星期三、星期四、星期五 07:00~20:00，星期六、星期日 08:00~18:00
星巴克,星巴克板橋新埔門市," 25.020409, 121.466577 ",新北市板橋區文化路1段220號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30
星巴克,星巴克立言門市," 25.005877, 121.484369 ",新北市中和區中正路866號1F,星期一、星期二、星期三、星期四、星期五 07:00~17:00
星巴克,星巴克龜山萬壽門市," 24.993507, 121.331351 ",桃園市龜山區萬壽路二段1202號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克雙和醫院門市," 24.9931046, 121.4936519 ",新北市中和區中正路291號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六 07:00~17:00，星期日 09:00~17:00
星巴克,星巴克板橋新巨蛋門市," 25.023677, 121.468595 ",新北市板橋區文化路1段360號,星期一、星期二、星期三、星期四 07:00~21:30，星期五 07:00~22:00，星期六 07:30~22:00，星期日 07:30~21:30
星巴克,星巴克板橋萬板門市," 25.022394, 121.472102 ",新北市板橋區萬板路32號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~20:00
星巴克,星巴克新莊中正門市," 25.035755, 121.449975 ",新北市新莊區中正路178號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克桃園美光門市," 25.038486, 121.374270 ",桃園市龜山區復興三路667號5樓,星期一、星期二、星期三、星期四、星期五 07:30~17:30
星巴克,星巴克桃鶯門市," 24.982345, 121.319076 ",桃園市桃園區桃鶯路192之1號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00
星巴克,星巴克中和連城門市," 25.000891, 121.497340 ",新北市中和區連城路71號1-2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克新莊新泰門市," 25.041286, 121.445448 ",新北市新莊區新泰路308號1-2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30
星巴克,星巴克板雙門市," 25.028786, 121.473609 ",新北市板橋區雙十路二段193號  江子翠捷運站4號出口斜對面 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克中和景安門市," 24.995118, 121.505320 ",新北市中和區景安路116號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克泰山明志門市," 25.051330, 121.427918 ",新北市泰山區明志路2段123號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克桃園台鐵門市," 24.989065, 121.314042 ",桃園市桃園區中正路1號2樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克南勢角門市," 24.989656, 121.510222 ",新北市中和區和平街1號,星期一、星期二、星期三、星期四、星期五 06:30~22:00，星期六、星期日 07:00~22:00
星巴克,星巴克桃園遠百門市," 24.989691, 121.313733 ",桃園市桃園區中正路20號B1,星期一、星期二、星期三、星期四 10:00~21:30，星期五 10:00~22:00，星期六 09:30~22:00，星期日 09:30~21:30
星巴克,星巴克新莊門市," 25.049019, 121.44759 ",新北市新莊區幸福路763-3號1F之1,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克桃園成功門市," 24.993147, 121.313210 ",桃園市桃園區成功路一段2&2-1號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30
星巴克,星巴克廣達門市," 25.049962, 121.375278 ",桃園市龜山區文化二路211號1樓  位於廣達電腦研發總部大樓，需憑該企業員工證件才可進入 ,星期一、星期二、星期三、星期四、星期五 07:00~17:30
星巴克,星巴克二重門市," 25.043314, 121.467728 ",新北市三重區重新路五段654號  新莊IKEA旁的家樂福賣場1樓 ,星期一、星期二、星期三、星期四、星期五、星期六 10:00~21:00，星期日 09:30~21:00
星巴克,星巴克雙和門市," 25.007359, 121.507182 ",新北市永和區中山路一段240號1樓,星期一、星期二、星期三、星期四、星期日 07:00~21:30，星期五、星期六 07:00~22:00
星巴克,星巴克桃園春日門市," 25.002532, 121.313721 ",桃園市桃園區春日路372號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克八德介壽門市," 24.964482, 121.298698 ",桃園市八德區介壽路一段728號1樓,星期一、星期三、星期四、星期五、星期六、星期日 08:00~22:00，星期二 08:00~21:30
星巴克,星巴克永和永安門市," 25.003641, 121.514651 ",新北市永和區安樂路248-7號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克八德大潤發門市," 24.953813, 121.297625 ",桃園市八德區介壽路2段148號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:30
星巴克,星巴克新莊思源門市," 25.053522, 121.460172 ",新北市新莊區思源路448號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克永和愛買門市," 24.996456, 121.521017 ",新北市永和區民生路46巷50號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克新莊宏匯門市," 25.059039, 121.449677 ",新北市新莊區新北大道4段3號1樓,星期一、星期二、星期三、星期四、星期日 11:00~21:30，星期五、星期六 11:00~22:00
星巴克,星巴克桃園縣府門市," 24.9944869, 121.302027 ",桃園市桃園區縣府路116號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克林口門市," 25.057981, 121.365907 ",桃園市龜山區復興一路202號1樓,星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 06:30~21:00
星巴克,星巴克艋舺門市," 25.033516, 121.498408 ",台北市萬華區西園路一段306巷24號 & 26號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30
星巴克,星巴克萬華西藏門市," 25.029578, 121.502478 ",台北市萬華區西藏路123號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克永和頂溪門市," 25.013361, 121.515339 ",新北市永和區永和路二段181號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克龜山復興門市," 25.059926, 121.368754 ",桃園市龜山區復興北路1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克環球A8門市," 25.060606, 121.370260 ",桃園市龜山區復興一路8號  環球購物中心2樓 ,星期一、星期二、星期三、星期四、星期五 07:00~22:00，星期六、星期日 08:00~22:00
星巴克,星巴克長庚文化門市," 25.059392, 121.365413 ",桃園市龜山區文化二路11-5號,星期一、星期二、星期三、星期四、星期五 07:00~19:30，星期六、星期日 08:00~18:00
星巴克,星巴克經國門市," 25.016182, 121.305359 ",桃園市桃園區經國路369號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:00
星巴克,星巴克新店莊敬門市," 24.985553, 121.533715 ",新北市新店區中正路542之5號1樓,星期一、星期二、星期三、星期四、星期五 07:00~18:00，星期六 07:30~18:00
星巴克,星巴克新店總站門市," 24.957916, 121.537886 ",新北市新店區北宜路一段2號2F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克新店中正門市," 24.974087, 121.538004 ",新北市新店區中正路265號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克慈濟門市," 24.986014, 121.535836 ",新北市新店區建國路289號2樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:30~19:30
星巴克,星巴克桃興門市," 25.011658, 121.298605 ",桃園市桃園區大興西路二段76巷6號  位於桃園醫mall醫療中心 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克西門桂林門市," 25.037762, 121.505851 ",台北市萬華區桂林路1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~22:00
星巴克,星巴克桃園藝文門市," 25.014574, 121.299937 ",桃園市桃園區同德五街61號1樓,星期一、星期二、星期三、星期四、星期五 06:30~22:00，星期六、星期日 07:00~22:00
星巴克,星巴克新店建國門市," 24.983041, 121.537837 ",新北市新店區民權路78號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克桃園總圖門市," 25.018161, 121.300401 ",桃園市桃園區南平路301號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:30
星巴克,星巴克新店北新門市," 24.967416, 121.541633 ",新北市新店區北新路一段82號 新店區公所捷運站 ,星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 07:00~21:30
星巴克,星巴克桃愛門市," 24.985106, 121.285594 ",桃園市桃園區中山路939號  位於愛買購物中心內 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00
星巴克,星巴克桃園中山門市," 24.988813, 121.286601 ",桃園市桃園區中山路879號,星期一、星期二、星期三、星期四、星期五 06:30~20:00，星期六、星期日 07:00~20:00
星巴克,星巴克MITSUI門市," 25.069479, 121.365593 ",新北市林口區文化三路一段356號,星期一、星期二、星期三、星期四 08:00~21:30，星期五、星期六、星期日 08:00~22:00
星巴克,星巴克北新門市 大坪林捷運站 ," 24.982707, 121.540883 ",新北市新店區民權路27號 大坪林捷運站 ,星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 07:00~21:30
星巴克,星巴克西門成都門市," 25.043151, 121.504748 ",台北市萬華區成都路87號,星期一、星期二、星期三、星期四、星期五 07:00~22:00，星期六、星期日 07:30~22:00
星巴克,星巴克桃園國際門市," 24.999916, 121.287982 ",桃園市桃園區國際路二段468號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克南海門市," 25.032419, 121.516867 ",台北市中正區南海路20號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克公館水源門市," 25.013811, 121.530391 ",台北市中正區思源街16號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~19:00
星巴克,星巴克經國二門市," 25.025209, 121.301405 ",桃園市桃園區經國路737號  本門市提供場地租借，詳情請洽門市夥伴 ,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克西門昆明門市," 25.04517, 121.505568 ",台北市萬華區武昌街二段77號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~22:00
星巴克,星巴克古亭門市," 25.024541, 121.524610 ",台北市大安區羅斯福路二段109號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:00
星巴克,星巴克和平門市," 25.026819, 121.522942 ",台北市大安區和平東路一段2號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克漢中門市," 25.044089, 121.50745 ",台北市萬華區漢中街51號,星期一、星期二、星期三、星期四 07:30~22:00，星期五、星期六、星期日 07:30~22:30
星巴克,星巴克林口文化三門市," 25.072519, 121.364894 ",新北市林口區文化三路一段359 號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克八德興豐門市," 24.928889, 121.281283 ",桃園市八德區興豐路138號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30
星巴克,星巴克新中門市," 24.977656, 121.54565 ",新北市新店區中興路三段3號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00
星巴克,星巴克新店裕隆城門市," 24.977973, 121.546471 ",新北市新店區中興路三段70號1樓,星期一、星期二、星期三、星期四、星期日 11:00~21:30，星期五、星期六 11:00~22:00
星巴克,星巴克羅斯福門市," 25.017395, 121.531821 ",台北市大安區羅斯福路三段301號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克文化門市," 25.077117, 121.374574 ",新北市林口區文化二路一段551號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克重慶門市," 25.042448, 121.513067 ",台北市中正區重慶南路一段104號,星期一、星期二、星期三、星期四、星期日 07:00~21:00，星期五、星期六 07:00~22:00
星巴克,星巴克三重菜寮門市," 25.061577, 121.488672 ",新北市三重區新北大道1段6號,星期一、星期二、星期三、星期四、星期五 06:30~22:00，星期六、星期日 07:00~22:00
星巴克,星巴克景美門市," 24.992599, 121.544369 ",台北市文山區景興路185號1-2F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克師大和平門市," 25.026655, 121.529160 ",台北市大安區平東路一段129-1號1樓  師大綜合大樓 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~18:00
星巴克,星巴克林口中山門市," 25.081442, 121.381194 ",新北市林口區中山路369號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克台醫B1門市," 25.040756, 121.518617 ",台北市中正區中山南路7號B1,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克館前漢口門市," 25.044861, 121.514883 ",台北市中正區館前路26號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克懷寧門市," 25.046064, 121.514131 ",台北市中正區懷寧街10號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克杭州門市," 25.035596, 121.524576 ",台北市中正區信義路二段1號之1,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克許昌南陽門市," 25.045567, 121.516344 ",台北市中正區南陽街1號2F,星期一、星期二、星期三、星期四、星期五 07:00~20:00，星期六、星期日 08:00~19:00
