门市名称,星期一,星期二,星期三,星期四,星期五,星期六,星期日
土城大潤發門市,星期一、10:00 到 21:30;,星期二、10:00 到 21:30. ,星期三、10:00 到 21:30;,星期四、10:00 到 21:30;,星期五、10:00 到 21:30;,星期六、09:30 到 21:30;,星期日、09:30 到 21:30;
新莊宏匯門市,星期一、11:00 到 21:30;,星期二、11:00 到 21:30. ,星期三、11:00 到 21:30;,星期四、11:00 到 21:30;,星期五、11:00 到 22:00;,星期六、11:00 到 22:00;,星期日、11:00 到 21:30;
桃園縣府門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
林口門市,星期一、06:30 到 21:30;,星期二、06:30 到 21:30. ,星期三、06:30 到 21:30;,星期四、06:30 到 21:30;,星期五、06:30 到 21:30;,星期六、06:30 到 21:00;,星期日、06:30 到 21:00;
艋舺門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:30 到 21:30;,星期日、07:30 到 21:30;
萬華西藏門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
永和頂溪門市,星期一、07:00 到 22:00;,星期二、07:00 到 22:00. ,星期三、07:00 到 22:00;,星期四、07:00 到 22:00;,星期五、07:00 到 22:00;,星期六、07:00 到 22:00;,星期日、07:00 到 22:00;
龜山復興門市,星期一、06:30 到 22:00;,星期二、06:30 到 22:00. ,星期三、06:30 到 22:00;,星期四、06:30 到 22:00;,星期五、06:30 到 22:00;,星期六、06:30 到 22:00;,星期日、06:30 到 22:00;
環球A8門市,星期一、07:00 到 22:00;,星期二、07:00 到 22:00. ,星期三、07:00 到 22:00;,星期四、07:00 到 22:00;,星期五、07:00 到 22:00;,星期六、08:00 到 22:00;,星期日、08:00 到 22:00;
長庚文化門市,星期一、07:00 到 19:30;,星期二、07:00 到 19:30. ,星期三、07:00 到 19:30;,星期四、07:00 到 19:30;,星期五、07:00 到 19:30;,星期六、08:00 到 18:00;,星期日、08:00 到 18:00;
經國門市,星期一、07:30 到 21:00;,星期二、07:30 到 21:00. ,星期三、07:30 到 21:00;,星期四、07:30 到 21:00;,星期五、07:30 到 21:00;,星期六、07:30 到 21:00;,星期日、07:30 到 21:00;
新店莊敬門市,星期一、07:00 到 18:00;,星期二、07:00 到 18:00. ,星期三、07:00 到 18:00;,星期四、07:00 到 18:00;,星期五、07:00 到 18:00;,星期六、07:30 到 18:00;,星期日、休息;
新店總站門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
新店中正門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
慈濟門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、07:30 到 19:30;,星期日、07:30 到 19:30;
桃興門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
西門桂林門市,星期一、07:30 到 22:00;,星期二、07:30 到 22:00. ,星期三、07:30 到 22:00;,星期四、07:30 到 22:00;,星期五、07:30 到 22:00;,星期六、07:30 到 22:00;,星期日、07:30 到 22:00;
